"","V1","V2"
"201","AJUBA","PPP2R1A"
"202","AJUBA","RAF1"
"203","AJUBA","RARA"
"204","AJUBA","RNF43"
"205","AJUBA","SMAD2"
"206","AJUBA","SMARCB1"
"207","AJUBA","SPOP"
"208","AJUBA","SRSF2"
"209","AJUBA","TCF12"
"210","AJUBA","TGFBR2"
"211","AJUBA","TGIF1"
"212","AJUBA","U2AF1L4"
"213","AJUBA","WT1"
"214","AJUBA","ZBTB20"
"215","AKT1","ATXN3"
"216","AKT1","CCND1"
"217","AKT1","CHEK2"
"218","AKT1","CREB3L3"
"219","AKT1","CSDE1"
"220","AKT1","EEF1A1"
"221","AKT1","EZH2"
"222","AKT1","FGFR1"
"223","AKT1","FLT3"
"224","AKT1","GABRA6"
"225","AKT1","IL7R"
"226","AKT1","IRF2"
"227","AKT1","JAK2"
"228","AKT1","KEAP1"
"229","AKT1","KEL"
"230","AKT1","KRT222"
"231","AKT1","MSH3"
"232","AKT1","NRAS"
"233","AKT1","NUP133"
"234","AKT1","PGR"
"235","AKT1","PHF6"
"236","AKT1","PIK3R1"
"237","AKT1","PIK3R2"
"238","AKT1","PLCB4"
"239","AKT1","PMS2"
"240","AKT1","PTPDC1"
"241","AKT1","RASA1"
"242","AKT1","RFC1"
"243","AKT1","RPS6KA3"
"244","AKT1","SMAD4"
"245","AKT1","SMARCA1"
"246","AKT1","SMC3"
"247","AKT1","SOX9"
"248","AKT1","SPOP"
"249","AKT1","SRSF2"
"250","AKT1","TBL1XR1"
"251","AKT1","TCF12"
"252","AKT1","TGIF1"
"253","AKT1","TLR4"
"254","AKT1","TNFAIP3"
"255","AKT1","XPO1"
"256","AKT1","ZBTB20"
"257","AKT1","ZFP36L2"
"258","AKT1","ZNF133"
"259","ALB","BRD7"
"260","ALB","BTG2"
"261","ALB","CASP8"
"262","ALB","CDKN1A"
"263","ALB","CNBD1"
"264","ALB","CSDE1"
"265","ALB","CTNND1"
"266","ALB","DACH1"
"267","ALB","DDX3X"
"268","ALB","EEF1A1"
"269","ALB","ERBB4"
"270","ALB","EZH2"
"271","ALB","FOXA1"
"272","ALB","GATA3"
"273","ALB","GPS2"
"274","ALB","JAK1"
"275","ALB","KEAP1"
"276","ALB","KEL"
"277","ALB","KIT"
"278","ALB","LZTR1"
"279","ALB","MAP3K1"
"280","ALB","MLH1"
"281","ALB","MSH6"
"282","ALB","NF2"
"283","ALB","NUP93"
"284","ALB","PCBP1"
"285","ALB","PGR"
"286","ALB","PIK3CB"
"287","ALB","PLCB4"
"288","ALB","POLRMT"
"289","ALB","RASA1"
"290","ALB","RET"
"291","ALB","RUNX1"
"292","ALB","SMARCA1"
"293","ALB","SOX9"
"294","ALB","TBX3"
"295","ALB","TET2"
"296","ALB","THRAP3"
"297","ALB","TNFAIP3"
"298","ALB","ZBTB7B"
"299","ALB","ZC3H12A"
"300","ALB","ZFP36L2"
"301","ALB","ZMYM2"
"302","ALB","ZNF133"
"303","ALK","AMER1"
"304","ALK","BCOR"
"305","ALK","BRCA1"
"306","ALK","CARD11"
"307","ALK","CDH1"
"308","ALK","CIC"
"309","ALK","CTCF"
"310","ALK","DHX9"
"311","ALK","DNMT3A"
"312","ALK","EGFR"
"313","ALK","GNAS"
"314","ALK","GRIN2D"
"315","ALK","GTF2I"
"316","ALK","INPPL1"
"317","ALK","KIF1A"
"318","ALK","KLF5"
"319","ALK","LATS1"
