"","V1","V2"
"212","AXIN1","RAC1"
"213","AXIN1","RPL5"
"214","AXIN1","SOX17"
"215","AXIN1","TRAF3"
"216","AXIN2","BRAF"
"217","AXIN2","EPAS1"
"218","AXIN2","FGFR2"
"219","AXIN2","FOXQ1"
"220","AXIN2","GNA13"
"221","AXIN2","PLCG1"
"222","AXIN2","PTEN"
"223","AXIN2","SETBP1"
"224","AXIN2","ZMYM3"
"225","AXIN2","ZNF750"
"226","B2M","CD70"
"227","B2M","EGR3"
"228","B2M","FOXA2"
"229","B2M","FUBP1"
"230","B2M","H3F3A"
"231","B2M","HIST1H1E"
"232","B2M","IL6ST"
"233","B2M","IRF6"
"234","B2M","LATS2"
"235","B2M","RAF1"
"236","B2M","RARA"
"237","B2M","RNF43"
"238","B2M","TGFBR2"
"239","BAP1","CTNNB1"
"240","BAP1","EEF2"
"241","BAP1","HGF"
"242","BAP1","JAK3"
"243","BAP1","MSH2"
"244","BAP1","SF1"
"245","BAP1","SIN3A"
"246","BAP1","TAF1"
"247","BCL2","BCL2L11"
"248","BCL2","CEBPA"
"249","BCL2","GNAQ"
"250","BCL2","H3F3C"
"251","BCL2","LEMD2"
"252","BCL2","MAPK1"
"253","BCL2","PTPN11"
"254","BCL2","TCF7L2"
"255","BCL2","UNCX"
"256","BCL2","ZCCHC12"
"257","BCL2L11","CEBPA"
"258","BCL2L11","GNAQ"
"259","BCL2L11","H3F3C"
"260","BCL2L11","LEMD2"
"261","BCL2L11","MAPK1"
"262","BCL2L11","PTPN11"
"263","BCL2L11","TCF7L2"
"264","BCL2L11","UNCX"
"265","BCL2L11","ZCCHC12"
"266","BCOR","CARD11"
"267","BCOR","EGFR"
"268","BCOR","LATS1"
"269","BCOR","MUC6"
"270","BCOR","PDS5B"
"271","BCOR","PTPRC"
"272","BCOR","USP9X"
"273","BRAF","EPAS1"
"274","BRAF","FGFR2"
"275","BRAF","FOXQ1"
"276","BRAF","GNA13"
"277","BRAF","PLCG1"
"278","BRAF","PTEN"
"279","BRAF","SETBP1"
"280","BRAF","ZMYM3"
"281","BRAF","ZNF750"
"282","BRCA1","CTCF"
"283","BRCA1","DHX9"
"284","BRCA1","GNAS"
"285","BRCA1","GRIN2D"
"286","BRCA1","GTF2I"
"287","BRCA1","INPPL1"
"288","BRCA1","KLF5"
"289","BRCA1","MAP3K4"
"290","BRCA1","NOTCH1"
"291","BRCA2","MYH9"
"292","BRD7","BTG2"
"293","BRD7","CNBD1"
"294","BRD7","CTNND1"
"295","BRD7","ERBB4"
"296","BRD7","FOXA1"
"297","BRD7","GATA3"
"298","BRD7","GPS2"
"299","BRD7","JAK1"
"300","BRD7","LZTR1"
"301","BRD7","MLH1"
"302","BRD7","NUP93"
"303","BRD7","PIK3CB"
"304","BRD7","RET"
"305","BRD7","RUNX1"
"306","BRD7","TET2"
"307","BRD7","ZBTB7B"
"308","BRD7","ZMYM2"
"309","BTG2","CNBD1"
"310","BTG2","CTNND1"
"311","BTG2","ERBB4"
"312","BTG2","FOXA1"
"313","BTG2","GATA3"
"314","BTG2","GPS2"
"315","BTG2","JAK1"
"316","BTG2","LZTR1"
"317","BTG2","MLH1"
"318","BTG2","NUP93"
"319","BTG2","PIK3CB"
"320","BTG2","RET"
"321","BTG2","RUNX1"
"322","BTG2","TET2"
"323","BTG2","ZBTB7B"
"324","BTG2","ZMYM2"
"325","CACNA1A","MED12"
"326","CARD11","EGFR"
"327","CARD11","LATS1"
"328","CARD11","MUC6"
"329","CARD11","PDS5B"
"330","CARD11","PTPRC"
"331","CARD11","USP9X"
"332","CASP8","CDKN1A"
"333","CASP8","DACH1"
"334","CASP8","DDX3X"
"335","CASP8","KIT"
"336","CASP8","MAP3K1"
"337","CASP8","MSH6"
"338","CASP8","NF2"
"339","CASP8","PCBP1"
"340","CASP8","POLRMT"
"341","CASP8","TBX3"
"342","CASP8","THRAP3"
"343","CASP8","ZC3H12A"
"344","CBFB","CD79B"
"345","CBFB","MAP2K1"
"346","CBFB","MGMT"
"347","CBFB","NPM1"
"348","CBFB","PAX5"
"349","CBFB","PIM1"
"350","CBFB","RHEB"
"351","CBFB","VHL"
"352","CBWD3","FAM46D"
"353","CBWD3","MAX"
"354","CBWD3","MYD88"
"355","CBWD3","RIT1"
"356","CBWD3","RPL22L1"
"357","CBWD3","RQCD1"
"358","CBWD3","RRAS2"
"359","CBWD3","STK11"
"360","CBWD3","TCEB1"
"361","CBWD3","TMSB4X"
"362","CCND1","KRT222"
"363","CCND1","MSH3"
"364","CCND1","NRAS"
"365","CCND1","PIK3R2"
"366","CCND1","SPOP"
"367","CCND1","SRSF2"
"368","CCND1","TCF12"
"369","CCND1","TGIF1"
"370","CCND1","ZBTB20"
"371","CD70","EGR3"
"372","CD70","FOXA2"
"373","CD70","FUBP1"
"374","CD70","H3F3A"
"375","CD70","HIST1H1E"
"376","CD70","IL6ST"
"377","CD70","IRF6"
"378","CD70","LATS2"
"379","CD70","RAF1"
"380","CD70","RARA"
"381","CD70","RNF43"
"382","CD70","TGFBR2"
"383","CD79B","MAP2K1"
"384","CD79B","MGMT"
"385","CD79B","NPM1"
"386","CD79B","PAX5"
"387","CD79B","PIM1"
"388","CD79B","RHEB"
"389","CD79B","VHL"
"390","CDH1","CIC"
"391","CDH1","DNMT3A"
"392","CDH1","KIF1A"
"393","CDH1","NIPBL"
"394","CDH1","NOTCH2"
"395","CDH1","PIK3CG"
"396","CDH1","RAD21"
"397","CDH1","RNF111"
"398","CDH1","TSC2"
"399","CDH1","TXNIP"
"400","CDK12","RHOB"
"401","CDK4","CDKN1B"
"402","CDK4","CDKN2C"
"403","CDK4","CYLD"
"404","CDK4","CYSLTR2"
"405","CDK4","DAZAP1"
"406","CDK4","GNA11"
"407","CDK4","HLA-A"
"408","CDK4","IDH2"
"409","CDK4","MAP2K4"
"410","CDK4","MEN1"
"411","CDK4","MYC"
"412","CDK4","PPM1D"
"413","CDK4","PPP6C"
"414","CDK4","PRKAR1A"
"415","CDK4","RAC1"
"416","CDK4","RPL5"
"417","CDK4","SOX17"
"418","CDK4","TRAF3"
"419","CDKN1A","DACH1"
"420","CDKN1A","DDX3X"
"421","CDKN1A","KIT"
"422","CDKN1A","MAP3K1"
"423","CDKN1A","MSH6"
"424","CDKN1A","NF2"
"425","CDKN1A","PCBP1"
"426","CDKN1A","POLRMT"
"427","CDKN1A","TBX3"
"428","CDKN1A","THRAP3"
"429","CDKN1A","ZC3H12A"
"430","CDKN1B","CDKN2C"
"431","CDKN1B","CYLD"
"432","CDKN1B","CYSLTR2"
"433","CDKN1B","DAZAP1"
"434","CDKN1B","GNA11"
"435","CDKN1B","HLA-A"
"436","CDKN1B","IDH2"
"437","CDKN1B","MAP2K4"
"438","CDKN1B","MEN1"
"439","CDKN1B","MYC"
"440","CDKN1B","PPM1D"
"441","CDKN1B","PPP6C"
"442","CDKN1B","PRKAR1A"
"443","CDKN1B","RAC1"
"444","CDKN1B","RPL5"
"445","CDKN1B","SOX17"
"446","CDKN1B","TRAF3"
"447","CDKN2A","CHD3"
"448","CDKN2A","COL5A1"
"449","CDKN2A","EPHA2"
"450","CDKN2A","HIST1H1C"
"451","CDKN2A","MTOR"
"452","CDKN2A","PSIP1"
"453","CDKN2A","RHOA"
"454","CDKN2A","ZFP36L1"
"455","CDKN2C","CYLD"
"456","CDKN2C","CYSLTR2"
"457","CDKN2C","DAZAP1"
"458","CDKN2C","GNA11"
"459","CDKN2C","HLA-A"
"460","CDKN2C","IDH2"
"461","CDKN2C","MAP2K4"
"462","CDKN2C","MEN1"
"463","CDKN2C","MYC"
"464","CDKN2C","PPM1D"
"465","CDKN2C","PPP6C"
"466","CDKN2C","PRKAR1A"
"467","CDKN2C","RAC1"
"468","CDKN2C","RPL5"
"469","CDKN2C","SOX17"
"470","CDKN2C","TRAF3"
"471","CEBPA","GNAQ"
"472","CEBPA","H3F3C"
"473","CEBPA","LEMD2"
"474","CEBPA","MAPK1"
"475","CEBPA","PTPN11"
"476","CEBPA","TCF7L2"
"477","CEBPA","UNCX"
"478","CEBPA","ZCCHC12"
"479","CHD3","COL5A1"
"480","CHD3","EPHA2"
"481","CHD3","HIST1H1C"
"482","CHD3","MTOR"
"483","CHD3","PSIP1"
"484","CHD3","RHOA"
"485","CHD3","ZFP36L1"
"486","CHD4","ZFHX3"
"487","CHD8","DIAPH2"
"488","CHD8","DICER1"
"489","CHD8","HRAS"
"490","CHD8","KMT2B"
"491","CHD8","MECOM"
"492","CHD8","PBRM1"
"493","CHD8","SCAF4"
"494","CHD8","SF3B1"
"495","CHD8","SOS1"
"496","CHEK2","CREB3L3"
"497","CHEK2","FGFR1"
"498","CHEK2","FLT3"
"499","CHEK2","GABRA6"
"500","CHEK2","IL7R"
"501","CHEK2","IRF2"
"502","CHEK2","JAK2"
"503","CHEK2","NUP133"
"504","CHEK2","PHF6"
"505","CHEK2","PIK3R1"
"506","CHEK2","PMS2"
"507","CHEK2","PTPDC1"
"508","CHEK2","RFC1"
"509","CHEK2","RPS6KA3"
"510","CHEK2","SMAD4"
"511","CHEK2","SMC3"
"512","CHEK2","TBL1XR1"
"513","CHEK2","TLR4"
"514","CHEK2","XPO1"
"515","CIC","DNMT3A"
"516","CIC","KIF1A"
"517","CIC","NIPBL"
"518","CIC","NOTCH2"
"519","CIC","PIK3CG"
"520","CIC","RAD21"
"521","CIC","RNF111"
"522","CIC","TSC2"
"523","CIC","TXNIP"
"524","CNBD1","CTNND1"
"525","CNBD1","ERBB4"
"526","CNBD1","FOXA1"
"527","CNBD1","GATA3"
"528","CNBD1","GPS2"
"529","CNBD1","JAK1"
"530","CNBD1","LZTR1"
"531","CNBD1","MLH1"
"532","CNBD1","NUP93"
"533","CNBD1","PIK3CB"
