"","V1","V2"
"207","KMT2D","ZNF750"
"208","MACF1","MYH9"
"209","MACF1","PIK3CA"
"210","MACF1","RB1"
"211","MACF1","SPTA1"
"212","MACF1","SPTAN1"
"213","MACF1","STAG2"
"214","MACF1","TP53"
"215","MYH9","TP53"
"216","NCOR1","TP53"
"217","NF1","TP53"
"218","PIK3CA","PTPRD"
"219","PIK3CA","RB1"
"220","PIK3CA","SETD2"
"221","PIK3CA","SPTA1"
"222","PIK3CA","SPTAN1"
"223","PIK3CA","STAG2"
"224","PIK3CA","TP53"
"225","PIK3CA","TSC1"
"226","PIK3CA","ZFHX3"
"227","RB1","TP53"
"228","SPTA1","TP53"
"229","SPTAN1","TP53"
"230","STAG2","TP53"
"231","TP53","TRAF3"
"232","TP53","TSC1"
"233","TP53","TSC2"
"234","TP53","TXNIP"
"235","TP53","U2AF1L4"
"236","TP53","UNCX"
"237","TP53","USP9X"
"238","TP53","VHL"
"239","TP53","WHSC1"
"240","TP53","WT1"
"241","TP53","XPO1"
"242","TP53","ZBTB20"
"243","TP53","ZBTB7B"
"244","TP53","ZC3H12A"
"245","TP53","ZCCHC12"
"246","TP53","ZFHX3"
"247","TP53","ZFP36L1"
"248","TP53","ZFP36L2"
"249","TP53","ZMYM2"
"250","TP53","ZMYM3"
"251","TP53","ZNF133"
"252","TP53","ZNF750"
