Gene,TCGA.A1.A0SK.01A,TCGA.A1.A0SM.01A,TCGA.A1.A0SO.01A,TCGA.A2.A04P.01A,TCGA.A2.A04Q.01A,TCGA.A2.A04R.01A,TCGA.A2.A0CT.01A,TCGA.A2.A0D0.01A,TCGA.A2.A0D4.01A,TCGA.A2.A0ER.01A,TCGA.A2.A0SV.01A,TCGA.A2.A0SW.01A,TCGA.A2.A0SX.01A,TCGA.A2.A0T0.01A,TCGA.A2.A0T2.01A,TCGA.A2.A0T3.01A,TCGA.A2.A0T4.01A,TCGA.A2.A0YG.01A,TCGA.A2.A0YH.01A,TCGA.A2.A0YM.01A,TCGA.A7.A0CE.01A,TCGA.A7.A0CJ.01A,TCGA.A7.A0DA.01A,TCGA.A7.A13D.01A,TCGA.A7.A13F.01A,TCGA.A8.A06N.01A,TCGA.A8.A06O.01A,TCGA.A8.A06Q.01A,TCGA.A8.A06Z.01A,TCGA.A8.A079.01A,TCGA.A8.A07C.01A,TCGA.A8.A07O.01A,TCGA.A8.A07R.01A,TCGA.A8.A07U.01A,TCGA.A8.A07W.01A,TCGA.A8.A07Z.01A,TCGA.A8.A08G.01A,TCGA.A8.A08I.01A,TCGA.A8.A095.01A,TCGA.A8.A09C.01A,TCGA.A8.A09D.01A,TCGA.A8.A09I.01A,TCGA.A8.A09N.01A,TCGA.A8.A09Q.01A,TCGA.A8.A0A9.01A,TCGA.A8.A0AB.01A,TCGA.AN.A03Y.01A,TCGA.AN.A041.01A,TCGA.AN.A0AJ.01A,TCGA.AN.A0AR.01A,TCGA.AN.A0AS.01A,TCGA.AN.A0FF.01A,TCGA.AN.A0FJ.01A,TCGA.AN.A0FK.01A,TCGA.AN.A0FL.01A,TCGA.AN.A0FX.01A,TCGA.AN.A0FY.01A,TCGA.AN.A0XR.01A,TCGA.AN.A0XU.01A,TCGA.AN.A0XW.01A,TCGA.AO.A0J3.01A,TCGA.AO.A0J6.01A,TCGA.AO.A0J7.01A,TCGA.AO.A0JD.01A,TCGA.AO.A0JI.01A,TCGA.AO.A0JL.01A,TCGA.AO.A0JM.01A,TCGA.AO.A124.01A,TCGA.AO.A129.01A,TCGA.AO.A12B.01A,TCGA.AO.A12F.01A,TCGA.AQ.A04H.01B,TCGA.AR.A0TP.01A,TCGA.AR.A0TQ.01A,TCGA.AR.A0TS.01A,TCGA.AR.A0TT.01A,TCGA.AR.A0TV.01A,TCGA.AR.A0TY.01A,TCGA.AR.A0TZ.01A,TCGA.AR.A1AH.01A,TCGA.AR.A1AJ.01A,TCGA.AR.A1AQ.01A,TCGA.AR.A1AR.01A,TCGA.AR.A1AY.01A,TCGA.B6.A0I2.01A,TCGA.B6.A0RE.01A,TCGA.B6.A0RL.01A,TCGA.B6.A0RT.01A,TCGA.B6.A0RU.01A,TCGA.B6.A0WV.01A,TCGA.B6.A0X5.01A,TCGA.BH.A0AU.01A,TCGA.BH.A0AV.01A,TCGA.BH.A0AY.01A,TCGA.BH.A0B3.01A,TCGA.BH.A0B5.01A,TCGA.BH.A0B9.01A,TCGA.BH.A0BD.01A,TCGA.BH.A0BF.01A,TCGA.BH.A0BG.01A,TCGA.BH.A0BL.01A,TCGA.BH.A0BZ.01A,TCGA.BH.A0C0.01A,TCGA.BH.A0C3.01A,TCGA.BH.A0C7.01B,TCGA.BH.A0DD.01A,TCGA.BH.A0E0.01A,TCGA.BH.A0E6.01A,TCGA.BH.A0H0.01A,TCGA.BH.A0HU.01A,TCGA.BH.A0HW.01A,TCGA.BH.A0RX.01A,TCGA.BH.A0W3.01A,TCGA.BH.A0WA.01A,TCGA.BH.A18F.01A,TCGA.BH.A18J.01A,TCGA.BH.A18L.01A,TCGA.BH.A18V.01A,TCGA.BH.A1EW.01A,TCGA.BH.A1F0.01A,TCGA.C8.A12K.01A,TCGA.C8.A12M.01A,TCGA.C8.A12U.01A,TCGA.C8.A12V.01A,TCGA.C8.A12X.01A,TCGA.C8.A131.01A,TCGA.C8.A1HL.01A,TCGA.C8.A1HM.01A,TCGA.D8.A142.01A,TCGA.D8.A147.01A,TCGA.E2.A107.01A,TCGA.E2.A109.01A,TCGA.E2.A10C.01A,TCGA.E2.A14N.01A,TCGA.E2.A14O.01A,TCGA.E2.A14S.01A,TCGA.E2.A14W.01A,TCGA.E2.A14X.01A,TCGA.E2.A14Y.01A,TCGA.E2.A158.01A,TCGA.E2.A15A.01A,TCGA.E2.A15A.06A,TCGA.E2.A15K.06A,TCGA.E2.A15M.01A,TCGA.E2.A1B5.01A
SFRP1,2.9975,-1.396,2.597875,3.08175,2.8745,0.720375,-1.178,4.80625,-0.322125,-0.788875,-2.9985,-2.374125,1.914625,3.486,4.00225,1.095125,0.93125,-0.139375,5.532125,2.56125,4.17375,-1.00575,4.28875,1.515375,-1.5435,-4.501625,-0.58225,-2.075375,-3.71975,-2.388375,5.934375,1.142375,3.898125,-0.174375,-2.57325,-1.824,-3.045125,-2.1785,-0.969875,-1.2375,0.129375,-3.0205,-0.7605,-2.962,-2.777875,-0.65625,-2.12775,-2.105125,-3.448375,3.23875,-3.316875,-2.18225,2.099875,-2.821,5.284625,4.52375,-1.7645,-3.01225,4.569625,-1.4425,-2.3725,2.319875,-0.431,0.95075,-0.876875,4.822875,-2.360125,3.527125,3.43575,-3.20825,4.71,-1.45775,5.988625,-0.163875,4.542875,-1.873875,-4.00225,-0.82125,-2.092125,4.143375,2.973625,3.020375,-0.77575,3.88075,2.755125,4.091625,-2.60425,2.38325,5.386625,-0.724125,-4.0315,0.08675,3.924375,0.094125,4.187875,0.37225,3.656,0.242375,-1.34325,4.030875,1.783,-1.82375,-3.623625,1.232,1.41175,-2.973875,-2.811375,4.891875,-1.38775,-2.14525,-3.317125,3.277125,-2.496875,5.3645,2.291375,-3.017,-1.45275,2.02175,1.833875,4.65225,4.257125,-3.832625,-3.8955,4.52875,-4.04125,2.692,-1.83425,-3.388875,2.663,5.275125,0.138125,-3.152625,-3.605375,3.619,-2.963625,-2.0585,-4.165875,6.798625,0.598375,3.87725,-2.237,-2.444875,-3.824375,1.147,2.091625
ROPN1,2.442333,-0.688833,5.404,6.581,3.354333,1.003167,-1.140167,4.622167,0.214333,-1.548333,-2.077667,-1.549167,3.117667,7.227167,5.586833,0.767667,-0.290833,0.904167,-2.605333,6.336833,4.5625,0.2685,6.204167,6.533,-1.892833,-2.215667,-1.9005,-1.322,-2.141833,0.501,6.827333,4.919333,6.6975,1.767,-0.726667,-0.4795,-1.773,-0.798,-1.1575,0.130333,-2.444833,-1.935167,-0.557667,-1.806333,-1.833833,0.188167,-2.0775,-2.1015,-0.027333,4.203833,-1.9765,-1.8695,4.8655,-2.243167,6.487667,7.3145,-1.673833,-1.424667,3.5185,-1.821,-1.295,4.890833,-0.098667,0.994,-1.303333,5.788667,-3.267167,7.1645,6.008333,-2,6.096667,-1.002667,7.1415,0.291333,4.369167,-1.957667,-1.530167,-0.448333,-1.174167,4.781,4.258,3.3505,-0.918167,6.104667,3.987667,6.340167,-1.001,3.730333,6.570167,-0.392167,-2.2025,1.0275,5.7315,-1.570167,3.212333,-0.180833,5.597833,0.217833,-1.732167,5.904833,3.615,-1.2875,-2.208667,-0.964667,0.0905,-1.0365,2.885,4.601833,0.447167,-1.275667,-1.844833,5.26,-2.314667,5.903,1.814,-1.3515,-1.090667,3.398333,-1.240833,5.1945,6.208,-2.184667,-1.436,5.510167,-1.026333,0.311667,-0.9915,-0.3435,4.2505,5.4865,-0.393833,-1.4665,-1.6495,6.699167,-1.172333,-0.103167,-3.022833,6.689333,5.757333,6.5985,-1.6735,-1.767,-2.328667,-1.568167,6.123667
SOSTDC1,4.52725,-0.74,4.929,2.03775,-0.33075,-0.599,-0.9975,3.70275,-0.49125,-1.758,-3.14125,1.5685,4.91025,2.8615,3.53575,0.397,-0.99475,-0.8065,-1.83325,5.92575,0.97125,-0.9745,4.16675,4.845,-1.32975,-2.216,-4.73775,-1.6855,-3.1565,-3.86275,1.6715,-0.75375,0.35775,-2.1945,-3.6275,-2.25425,-2.7835,-2.4095,-0.24925,-3.22975,-3.274,-2.3775,-2.04075,-4.761083,-2.7655,1.134,-3.42525,-1.88125,-1.177,4.6415,-2.56825,-1.73925,3.983,-2.35525,6.1545,3.95725,-2.06775,-2.5505,3.3805,3.0975,-2.7315,2.45425,-1.14575,0.32225,-1.4,1.877,-3.86625,3.29175,2.648,0.1185,4.289,-0.86025,5.62025,-1.30075,1.7705,-2.4095,-2.35625,-0.92975,-2.66625,5.21775,-0.6155,2.267,-0.699,3.71325,2.53125,2.81675,-1.3855,2.43,3.51025,0.67275,4.25525,-1.1735,1.7485,-2.384,2.482,0.765,2.443,-0.208,-2.00475,-1.74325,4.92925,-0.20925,-2.47425,-1.6065,0.11425,-2.8585,-0.07475,4.4305,-1.837,-1.6825,-1.49225,3.3065,-2.798,3.04025,0.90425,-1.5155,-1.91075,1.7685,-1.7615,4.1245,-1.52725,-0.0855,-2.136,4.00025,-3.65875,-2.1335,-2.02175,-3.49625,5.8015,5.84475,-1.11275,0.36275,1.99575,3.75,-3.10975,-1.91625,-3.498417,3.00025,4.35325,2.97075,-0.921,-2.02075,-3.501,-1.825,1.2875
HORMAD1,-0.888633,0.565167,5.449333,6.513333,5.012,-0.630833,-0.723233,-0.589667,0.366367,0.529967,0.2995,0.109833,2.254333,5.705667,5.698333,-1.0515,0.401167,-0.358333,-0.0115,6.200667,0,0.164667,6.6345,5.26,-0.336833,-0.5005,-0.413,0.069667,-0.323667,-0.409433,6.883833,6.920833,4.994667,0.900667,-0.5535,-0.2445,0.114167,0.360333,0.506,-0.531233,0.045833,-0.362667,-0.1295,0.224167,-0.144167,-0.560167,-0.319633,2.776333,0.091333,7.1905,-0.584667,0.689,6.374,-0.377,5.020667,5.224167,0.159567,-0.247667,5.619333,0.569833,-0.457167,6.561333,0.189333,-0.145433,0.4615,6.114667,-0.583033,6.815833,7.090667,-0.321,4.6745,-0.1115,4.380333,0.171,5.360333,0.489333,0.199167,-1.561833,-0.356167,5.656833,5.632333,7.585167,4.527667,0.0595,7.221,7.628167,-0.0085,0.386833,2.800333,-0.385667,0.599167,0.461833,6.9595,0.428967,4.207167,0.649167,-0.102833,-0.635,-1.541167,7.921167,2.322333,0.042,0.441167,0.020333,-0.408833,4.134,6.291333,-0.904,-0.045633,2.035,-0.074233,6.270833,-0.050833,5.849167,-0.746833,1.601167,-1.476167,8.751667,0.339167,6.926,6.303667,0.583,-0.091167,6.5005,-0.467333,-1.110667,-1.0715,0.154667,6.789833,2.79,0.169,0.055833,0.347667,4.892667,-0.1895,0.3345,-0.932583,0.801,6.320833,4.995833,-0.49,0.775333,-0.5965,1.209333,5.058833
DNAJC12,-0.152333,-2.528167,-1.664667,-2.585,-3.287333,3.436333,1.774333,-4.365667,1.786,0.9985,-3.375333,0.341667,-2.749,-4.082833,-4.453167,0.534,0.366333,0.024167,0.937667,-4.138333,-2.517833,-0.593167,-4.063167,-3.283333,1.459333,3.0215,-2.177,-1.013,3.049,-2.042667,-1.817333,-4.535667,-4.158,-4.802333,0.324,1.9075,1.677833,0.329333,1.656667,0.5385,-1.257167,-2.037,1.398333,-2.29,0.438,0.671,1.981333,2.147333,-1.703833,-2.458833,-3.006,1.156667,-5.464167,0.310667,-4.481833,-2.845833,0.929,1.858667,-1.7475,-0.340833,3.379833,-1.393667,0.698,-0.556667,3.2485,-2.7415,-2.3915,-3.079333,-3.970667,0.433833,-3.356333,2.2375,-4.9165,0.731167,-4.596667,1.805167,3.0485,-2.229,0.3705,-0.894,-3.678833,-2.881,-2.240667,-3.491,-4.968167,-4.5285,-2.611667,-3.983,-2.060167,0.901667,1.195667,-0.8915,-3.6115,-2.398833,-3.5995,0.922333,-0.5935,0.573667,-1.937667,-2.059667,-0.8255,-2.373667,-3.369,-0.942833,3.516333,2.531167,-4.946833,-3.0005,3.234167,-1.267167,2.868833,-0.807667,2.457833,-3.418167,-0.742167,-0.4195,3.954333,-4.987667,-0.002,-3.819,-3.862333,3.613667,2.700167,-3.158,-0.758333,-3.369333,1.4935,0.412333,-3.7675,-1.713667,2.034,1.628,1.139167,-0.4815,1.395667,2.887833,-0.545,-4.842167,-4.056667,-1.157333,-0.771667,-0.315333,3.208667,0.033,-3.866667
TFAP2B,2.905,1.149,-5.126,-1.420625,-1.419625,-3.482625,-4.472875,-5.880875,-4.358375,2.105,1.873875,1.527625,-0.296125,-1.19125,-4.32675,-2.479625,1.107875,-2.98475,-5.187375,-4.592625,-3.195125,2.21075,-5.367,-3.979375,-4.314875,1.822125,2.307,-4.48475,-6.074518,0.906875,-4.998875,-4.90625,-2.700625,-5.1485,-5.242875,-3.568,-6.06875,0.89825,1.903125,-1.37275,-6.356375,1.904375,-4.308375,1.365,1.731625,3.064625,3.101875,-4.912125,-2.3255,-1.359875,0.891125,-5.8345,-6.684375,-5.309518,0.72925,-0.214,-4.933125,2.021375,-5.346,1.628375,-4.60925,-4.882125,-4.1305,2.124375,-3.836,-0.105,-6.060089,-2.78675,-1.769625,-5.58,-1.75875,-4.573,-2.7925,-4.887875,-4.753875,1.176,-5.932518,-2.646625,-5.04425,0.62925,-4.938375,-2.765,-1.821,-3.49075,-5.606375,-4.34,-5.02375,-2.6285,-0.590375,-0.803,-5.401625,-4.81375,-6.150375,2.2905,-1.124125,2.266625,-5.080625,2.186875,2.080625,-4.458,-1.90975,-4.366875,2.23675,-5.23075,-1.643625,0,1.24475,-1.907,-5.0745,-1.279,-7.656661,-1.924375,1.819375,-3.90975,1.53825,-3.08225,-5.474089,-4.472625,1.62675,-3.416375,-5.164,-5.853089,-5.181875,-1.97775,-4.960375,1.057625,-4.852,-0.352875,-4.000875,-5.936875,2.2115,-5.38325,1.417875,-2.802875,-0.51025,-4.642625,-2.272125,-3.3815,-3.540375,-5.316125,-4.961,-5.50025,-5.065625,-4.469,-2.599125
C10orf82,-3.4315,3.03625,-1.94275,-3.0755,-2.62425,4.4665,4.18075,-2.1115,3.04175,3.361,0.71475,2.7615,-0.92725,-2.45775,-2.184,-0.1685,2.8715,-1.74425,3.51725,-2.55475,-1.892,0.029,-2.81125,-2.98225,2.0935,4.28675,2.988,0.763,1.479,3.918,-2.409,-2.409,3.0205,-1.99875,1.567,-2.6245,1.343,2.0475,3.70375,3.4975,2.80025,-2.92675,4.2005,-2.19025,2.6025,0.6045,2.8275,1.29675,3.1395,-2.34575,-2.136,3.3575,-3.31275,-2.875,-2.908,-2.08225,3.3335,3.8265,-2.5445,2.37925,4.596,-2.6515,-2.5185,-1.88375,4.68325,-2.2415,2.575,0.6345,-2.111,-2.72175,-2.84425,-2.79575,-2.88975,-0.36875,-2.59,-2.251,3.05175,-2.58625,3.3985,-2.8235,-1.62175,-2.662,-2.87275,-2.41625,-2.59125,-3.4315,4.278,-1.92625,-1.1405,2.0215,0.8665,4.241,-3.16975,-2.04625,-3.08575,-1.97875,-2.629,2.53475,2.1355,-1.593,-2.686,-2.7715,2.438,1.08925,2.5345,1.61275,-2.46225,-1.954,4.04575,4.0535,4.158,-1.5585,2.2655,-2.774,3.32175,-2.15225,1.15025,-2.3855,-2.08425,-2.548,-1.82925,2.39775,-2.34375,-1.7665,3.6685,-2.73375,0.11225,3.8815,-2.88075,2.0795,2.7675,2.97125,2.1665,-2.5805,4.85875,3.04175,-2.498,-2.8405,-1.85025,-3.1,2.21,1.536,-2.3255,1.45975,0.9345
CP,-0.711545,4.840455,-2.095909,2.575727,2.719182,-2.370909,-1.513545,5.045455,-1.716527,-2.342727,1.760727,0.317545,1.100091,3.795909,0.024909,-0.063455,1.867909,0.730909,1.678273,2.746091,4.879091,0.769455,1.240545,4.509545,0.631091,-2.567545,1.034909,-0.731545,3.513273,-0.263727,-1.831455,5.769818,3.474364,3.706091,1.090818,-1.902909,-2.500364,5.972455,1.621909,1.849909,-1.663818,0.736091,-1.398636,-2.372,-1.202909,-1.014364,0.320909,-2.477818,-0.602455,-1.812273,3.552818,-2.195818,5.556636,-1.813909,-1.605182,3.714273,-2.418182,-2.463,4.893455,-1.844364,-2.589909,6.161636,-1.285909,1.017909,-0.403027,2.961455,-2.475364,4.555182,0.560909,-2.664636,-1.491636,-2.505818,3.000364,-1.562545,0.796091,0.354273,0.436273,-1.860455,-2.340273,-2.55,-1.102364,-1.296364,2.538273,3.899364,5.112273,1.212091,-2.341818,1.891545,4.155545,1.333545,-2.103,-1.175818,4.564182,-0.070545,4.325818,-0.749091,3.287818,5.925364,1.278545,6.193273,0.135636,-2.236636,2.849364,-0.590727,-2.500818,1.170818,-2.438273,-0.284,-2.022909,1.290636,-2.364091,5.008,-2.839273,5.468091,-0.394727,5.405636,3.377727,4.614273,4.544273,1.769727,3.014818,-2.982091,-2.227818,1.853455,-3.095818,5.964455,-2.972727,5.416909,0.760727,1.049727,-1.475455,-2.804636,1.302,2.747,3.034455,-1.015909,-2.527545,5.182273,-0.787455,-1.314273,0.564545,1.087273,-3.244636,-1.227545,1.381727
ESR1,-7.979833,-0.322167,-7.60525,-2.646,-4.92075,0.726083,0.86775,-7.745083,0.441833,1.467417,-1.229583,0.350083,-4.263333,-5.121833,-5.9995,0.471333,1.148667,0.329167,0.62425,-6.03925,-4.221583,1.54575,-6.46175,-6.157167,-0.276833,2.4945,1.460667,0.365917,1.308333,2.249167,-6.575167,-4.78975,-7.5345,-3.575833,2.000833,1.277833,1.365583,2.132,0.918583,1.514833,-1.214083,-0.077917,1.275083,1.6685,1.5095,2.160417,1.406833,0.162917,0.797083,-5.44025,-0.697167,-0.1015,-7.249417,2.068167,-6.696583,-3.567,0.89625,2.071417,-3.00475,-0.934833,1.741,-4.331833,1.869583,0.292417,1.653083,-6.947803,-1.072917,-7.68275,-4.375083,2.991667,-7.145833,2.44225,-7.766333,-0.9675,-5.49825,-0.242917,2.801833,1.276083,0.439333,-7.818417,-4.34125,-4.6855,-3.743917,-4.057083,-1.66525,-4.240833,2.365417,-4.952417,-3.650417,1.806333,1.641417,0.306333,-6.728,-0.429333,-4.750083,-0.759583,-6.358917,-0.230333,-1.821917,-5.8395,-5.017583,-0.0905,0.817417,-0.718,1.616583,1.193,-5.088,-3.740167,0.801167,0.25625,1.922167,-2.932167,2.185333,-6.465667,-0.634083,-0.504833,1.114917,-4.612083,-0.268583,-4.777917,-2.4815,1.97,-0.696167,-4.25275,1.306167,-5.6745,-0.99325,1.734167,-5.50525,-6.388917,1.096667,1.225917,1.106333,-6.593167,1.248083,2.018,0.584333,-4.052583,-4.42475,-7.310917,-0.371167,-0.714417,1.759917,0.41825,-5.529333
MSMB,-3.572375,0.47075,-0.9675,2.682875,-2.960875,4.20175,-1.96875,-3.116375,2.626,-1.060875,-2.252125,3.2215,1.0075,1.739875,0.908375,3.77675,1.02925,1.0515,-1.01225,-1.75325,-2.439375,-2.361875,-2.787125,-0.225,-0.38575,-1.777625,0.71275,-1.088875,3.691,1.432125,-2.583875,-2.07875,-2.71225,0.319125,5.1355,0.15975,1.146875,-2.520625,0.14275,-0.0915,0.655,2.121375,-0.909375,0.083,-2.592125,-2.419625,-3.632625,6.370875,0.528375,0.551375,-2.7295,5.851625,-1.0105,1.341375,-1.96475,-1.633375,-2.53225,2.32875,1.375375,2.288375,0.772625,0.086,1.766875,-2.843875,-1.289875,-2.47275,2.046375,-2.284375,-2.4155,-2.765125,-2.377,-0.00825,-2.627875,1.205875,-3.091125,-2.13725,-0.66375,5.269125,4.88,0.101875,-1.92275,-2.77475,-3.448,-2.09275,0.185375,-2.33225,0.289375,-1.668625,-2.21675,3.935875,-0.078375,1.636625,-3.36975,-1.431625,-2.156,1.99025,-1.29475,-0.263875,-3.011625,-2.316375,-1.336625,4.323625,-0.5975,5.925375,2.5265,5.19225,-0.770375,-1.821375,-0.5335,3.090875,0.479875,1.14525,2.5205,-2.73175,-0.108375,2.052875,1.229375,0.29875,0.676125,-2.4705,-0.689875,6.185,3.69375,-3.31525,-2.20075,-1.590625,3.852,0.457875,-2.969,0.12875,-0.409375,6.130625,6.436375,-0.71175,0.910125,0.161,3.655,-1.436,-0.120375,-2.413375,2.093875,1.809875,5.092875,-2.482625,-1.362
CALML5,2.12,-0.714667,3.886833,3.664667,-0.364667,-1.1265,-2.480167,0.540833,-0.6705,-2.222667,-2.9745,4.022,3.302167,4.677167,2.102167,0.203667,-1.836667,3.398667,1.2585,4.287833,-2.7005,-2.4625,3.68,-2.027333,-0.9555,-3.519167,-2.366167,-2.4815,-0.442667,-0.596333,4.379,4.2755,3.6435,3.676,4.330167,-1.6775,2.9905,-2.841833,0.205,-2.069,-0.177667,-0.5255,0.9175,-0.633167,-0.0215,-2.234667,-3.547667,0.285,-1.570667,1.098833,4.997167,-1.894833,3.616,1.663,-1.1675,2.0055,-2.717167,4.321167,4.251,-2.406167,-1.201833,-1.552167,-1.938833,-1.380667,-3.657,-1.754333,1.405833,3.4205,4.395167,-2.844667,4.371333,0.323167,0.302167,3.602833,4.0045,-2.002333,-3.580667,-0.2445,-1.828833,-3.032333,0.106833,1.787667,-0.8305,4.406167,-2.579,3.8715,-2.602333,3.685833,3.648167,-1.466333,3.864333,-2.069,4.015667,-3.0095,3.080333,-1.522667,3.586333,-0.8655,-3.441667,-0.428833,1.5785,4.887167,-1.555,-0.969,0,-3.394833,4.189333,4.942167,-3.148,-1.258833,-2.784333,-0.896833,3.461167,3.899833,0.609,4.341,1.246667,3.7435,0.65,3.852833,-2.879,-2.9075,2.1195,-2.363167,-1.884167,2.974667,4.2635,4.1615,2.778833,3.6475,4.692167,1.266333,2.881,-0.626833,4.076333,-2.788,-2.350833,4.2795,4.378167,3.983,0.72,-1.9245,3.152833,3.987667,4.052333
KRT6B,-0.381125,0.4535,0.654125,1.209875,0.5445,-1.4455,-2.057125,1.716875,-1.301125,-2.007375,-3.387125,-5.515375,1.458875,1.707375,2.23225,0.193125,-0.66575,0.018375,-1.546375,1.608375,2.176375,0.528875,1.035625,3.04925,-1.627875,-5.8925,-5.693,-4.702625,-5.163875,-1.672125,0.460375,-0.214875,1.044875,1.496625,-3.10525,-0.345,-1.997875,-3.35775,0.006625,-2.914625,-5.53975,0.2005,-1.68525,-5.38075,-5.39225,-0.10775,-3.436,-1.529375,-4.45225,1.4925,-5.436875,-5.566464,1.803625,-5.243875,0.452125,1.170625,-2.549,-2.558,2.451875,0.39625,-1.87225,1.512,-0.681875,0.242125,-1.930875,1.695875,-5.73125,1.635875,1.77025,-5.164,2.596625,0.43875,1.389625,-4.2035,0.584125,-5.216375,-5.13125,-0.978625,-2.32775,2.131125,0.235625,1.50475,-2.12525,2.75175,1.701375,1.44,-1.695375,0.155375,1.276875,0.098125,-4.560875,-2.440625,0.658,-4.951036,1.9735,0.29975,1.645,0.381125,-0.297,0.00725,0.52125,0.959875,-2.444375,-3.82425,0.40175,-2.879875,-1.282625,1.908,-3.594375,-1.096875,-3.72475,2.591625,-4.191875,1.62025,-0.330375,0.035125,-2.12675,1.2505,-1.413375,1.905,0.956375,-5.05675,-1.741875,1.375625,-5.344375,0.4245,-1.35875,-5.025125,1.52775,0.81,0.102125,-2.39175,-5.021125,1.2925,-5.1825,-2.534375,-4.88575,0.07175,2.465875,0.23425,-0.414375,-4.97375,-5.74275,-5.219875,1.531875
